crowdCount,capacity,temperature,weather,entryRate,exitRate,securityStaff,emergencyExits,risk
51920,49504,38,Sunny,848,637,197,5,High
29045,43159,24,Sunny,623,758,40,7,Low
4524,23986,44,Sunny,235,487,131,5,Low
12024,71858,46,Stormy,434,114,190,11,High
10978,22666,21,Sunny,799,504,157,8,High
48788,48660,39,Sunny,417,780,252,13,High
12392,13561,29,Sunny,122,55,351,14,Medium
37108,36854,46,Sunny,437,832,49,4,High
51770,74505,12,Sunny,10,340,400,7,Low
37738,62251,18,Stormy,275,225,326,14,Low
8804,32662,48,Sunny,500,991,180,13,Low
8780,18392,35,Rainy,217,969,421,5,Low
24285,40535,11,Sunny,631,501,97,4,Medium
17888,88603,32,Sunny,721,822,297,13,Low
22020,62256,32,Sunny,961,931,339,4,Low
78114,99135,30,Sunny,378,854,40,15,Medium
42780,45222,25,Stormy,994,458,404,3,High
109050,87373,18,Stormy,315,545,382,12,High
105078,89575,22,Sunny,21,520,391,4,High
79407,94651,37,Sunny,354,467,399,14,Medium
42859,73335,36,Sunny,474,556,162,13,Low
17434,20965,26,Stormy,709,545,55,15,High
34658,34538,47,Stormy,675,549,322,11,High
19026,80592,45,Rainy,503,493,457,2,Medium
10347,18110,10,Sunny,377,985,233,4,Low
95183,89309,27,Sunny,855,25,51,10,High
20176,37266,18,Sunny,946,580,205,5,High
47726,62992,22,Sunny,429,986,193,4,Medium
72121,92948,49,Sunny,898,252,73,9,High
5278,16910,24,Sunny,800,959,180,2,Low
5272,10206,13,Sunny,180,216,269,6,Low
47040,97054,42,Stormy,143,921,270,2,Medium
12738,97897,33,Rainy,974,280,442,8,High
4271,33419,45,Sunny,436,770,298,6,Low
64058,60636,19,Sunny,34,788,190,3,High
24848,60015,45,Sunny,539,714,202,13,Low
44717,64268,29,Rainy,199,856,21,15,Medium
43439,97939,20,Rainy,150,739,213,2,Medium
33256,28141,21,Rainy,564,124,185,12,High
35978,90356,27,Rainy,855,589,266,8,Medium
48663,81910,39,Sunny,805,308,432,13,High
72888,66044,46,Sunny,667,846,263,2,High
82481,77214,29,Sunny,324,492,129,4,High
13762,43827,34,Sunny,453,406,399,12,Low
67336,65820,21,Rainy,328,403,342,7,High
45528,72623,30,Sunny,450,84,90,7,High
60123,91734,34,Sunny,101,987,183,8,Low
21661,85450,20,Sunny,188,491,304,12,Low
6223,32299,18,Stormy,65,112,394,15,Low
50216,53585,34,Sunny,164,306,440,12,Medium
49678,74044,44,Rainy,681,187,132,2,High
31659,52557,41,Sunny,120,224,247,8,Low
55472,59080,23,Sunny,146,976,490,3,Medium
12443,12693,10,Sunny,241,324,320,7,High
22382,79163,26,Rainy,477,48,35,14,High
28814,35939,34,Sunny,741,268,50,9,High
15064,58925,17,Stormy,490,725,181,14,Low
51039,52941,14,Sunny,77,16,325,6,High
27233,31834,14,Sunny,823,58,212,11,High
33659,28047,44,Stormy,258,547,229,4,High
6473,36105,28,Sunny,332,170,397,12,Low
14203,85766,32,Sunny,931,878,465,9,Low
10913,25707,18,Rainy,913,185,251,9,High
12821,31976,39,Sunny,527,600,446,5,Low
20837,54262,25,Rainy,985,11,203,9,High
38578,33776,42,Sunny,801,904,34,6,High
15510,40080,11,Sunny,441,464,451,14,Low
31715,76842,23,Sunny,496,937,324,12,Low
69467,71373,10,Rainy,615,653,228,6,High
10354,16776,35,Sunny,438,285,191,4,Low
64575,65016,34,Rainy,278,507,285,8,High
3411,19474,25,Stormy,718,638,39,12,Low
44963,68053,24,Sunny,546,685,89,15,Low
4431,31959,35,Sunny,157,809,27,12,Low
2671,15530,25,Sunny,127,37,448,10,Low
15705,13748,23,Sunny,859,342,53,10,High
6124,23545,38,Sunny,376,10,243,2,High
54275,76199,33,Rainy,859,197,198,2,High
25640,44766,24,Stormy,75,65,265,11,Low
41718,83530,28,Stormy,979,556,279,13,High
80670,71087,17,Stormy,822,121,127,13,High
9862,78840,43,Stormy,379,807,261,12,Medium
55586,64384,11,Sunny,184,319,442,6,Medium
73688,61005,36,Rainy,840,45,487,2,High
42103,56576,19,Stormy,597,448,43,5,High
58105,49353,44,Sunny,504,738,235,13,High
11527,72003,32,Stormy,982,601,74,2,High
54212,93211,17,Sunny,123,835,45,3,Medium
25041,62733,37,Rainy,120,604,300,3,Medium
70832,75318,32,Rainy,770,586,311,5,High
122202,99474,13,Stormy,448,334,346,9,High
13297,33664,23,Sunny,724,649,477,3,Low
65773,77172,38,Rainy,156,316,205,15,High
31344,95616,10,Sunny,44,543,31,10,Low
27556,36736,13,Sunny,318,737,148,13,Medium
6876,10854,41,Rainy,547,628,391,10,Low
59213,48623,42,Sunny,759,118,453,3,High
13910,17392,35,Rainy,23,381,428,2,Medium
32966,65680,26,Sunny,383,366,227,11,Low
13113,56717,48,Sunny,566,190,152,11,High
26596,97092,32,Rainy,437,365,358,10,Low
21855,60859,41,Sunny,737,685,215,3,Low
14110,36309,24,Sunny,242,77,281,9,Low
105076,97455,22,Stormy,714,301,301,15,High
54961,73734,11,Sunny,572,701,388,4,Low
56479,80467,28,Rainy,948,190,122,2,High
14536,62662,33,Sunny,896,475,139,12,High
24710,22688,33,Sunny,735,443,202,2,High
32911,35342,20,Sunny,672,473,442,11,Medium
8385,47157,31,Sunny,449,690,28,3,Medium
71167,77863,24,Sunny,511,923,64,8,Medium
45014,62083,19,Sunny,284,543,263,13,Low
14691,75733,36,Sunny,859,75,289,7,High
62105,99045,18,Sunny,85,30,131,13,Low
29384,44698,37,Sunny,448,621,74,12,Low
26338,90623,10,Sunny,741,393,412,3,High
38798,32671,26,Sunny,869,821,34,5,High
37909,35184,40,Stormy,965,624,56,3,High
45300,52107,19,Rainy,708,568,197,2,High
60765,96202,46,Rainy,298,48,146,13,High
35365,61663,38,Sunny,924,294,136,4,High
21816,25708,27,Stormy,549,831,359,5,Medium
43497,59811,47,Rainy,900,611,91,11,High
2198,12811,48,Rainy,701,606,371,6,Low
45671,66250,15,Sunny,262,794,130,6,Low
84328,82082,49,Stormy,135,345,168,8,High
28111,44754,21,Rainy,186,197,204,15,Low
3420,21411,23,Stormy,46,680,124,11,Low
12965,12911,19,Sunny,419,252,166,9,High
25620,77270,29,Sunny,620,82,240,10,High
37262,93763,24,Sunny,619,488,333,13,Low
5406,18680,40,Sunny,136,983,370,8,Low
45526,94896,16,Stormy,492,570,393,6,Low
91087,93879,19,Sunny,177,110,25,10,High
56686,81295,19,Sunny,601,523,279,9,Low
33096,98614,48,Sunny,303,765,318,11,Low
23422,21111,37,Sunny,854,185,368,10,High
52801,47504,39,Sunny,647,247,61,11,High
12995,11802,46,Rainy,352,919,278,9,High
6801,18155,12,Sunny,319,68,404,7,Low
51776,83656,24,Sunny,671,874,458,5,Low
60877,49384,30,Sunny,537,108,290,10,High
56556,57254,46,Sunny,549,963,66,13,High
4188,31918,21,Sunny,428,880,104,10,Low
16795,95981,13,Rainy,453,963,193,11,Low
44798,70713,18,Rainy,694,504,77,11,Medium
46174,40306,48,Rainy,567,956,498,10,High
19171,26646,37,Rainy,849,989,218,15,Medium
38226,56843,32,Sunny,245,523,228,11,Low
5835,26371,49,Stormy,448,764,267,4,Medium
74728,87371,31,Rainy,223,306,230,12,Medium
12596,12049,33,Stormy,94,220,58,13,High
22367,41616,35,Sunny,803,132,271,4,High
30683,30932,39,Stormy,753,238,150,12,High
48190,39855,42,Rainy,94,603,433,7,High
23882,71434,25,Rainy,930,665,310,7,Low
58037,82694,31,Sunny,498,397,269,14,Medium
22807,53016,27,Rainy,74,149,460,14,Low
17605,17400,16,Stormy,655,550,432,7,High
40230,52642,35,Rainy,672,400,453,6,High
20869,25151,17,Sunny,636,279,465,15,High
62487,61407,15,Stormy,73,768,71,6,High
42591,76690,39,Sunny,352,21,393,3,High
16707,14499,48,Sunny,948,876,33,15,High
11618,16295,32,Sunny,884,398,438,8,High
19444,69040,41,Stormy,928,346,175,13,High
19970,22183,31,Sunny,361,515,461,5,Medium
39780,39299,18,Sunny,167,115,49,15,High
10619,22874,40,Rainy,598,41,109,4,High
46373,42711,16,Rainy,500,83,410,9,High
17746,15539,18,Sunny,667,180,186,5,High
26508,63351,22,Stormy,864,858,370,12,Low
87733,71267,12,Stormy,472,78,88,5,High
15278,58354,44,Sunny,234,822,182,9,Low
4172,12557,42,Sunny,926,371,261,2,High
15081,48360,30,Sunny,322,658,402,10,Low
103804,92018,40,Sunny,624,442,71,15,High
10399,12200,43,Sunny,928,938,161,8,Medium
21580,78497,41,Stormy,868,109,82,13,High
34548,56975,44,Rainy,822,667,311,3,High
25323,31357,24,Sunny,949,18,110,12,High
17149,87505,41,Sunny,475,583,171,13,Low
14346,12869,15,Sunny,97,706,443,7,High
72852,71135,30,Sunny,892,38,176,9,High
40932,60108,42,Sunny,312,902,328,12,Low
58751,48467,41,Stormy,689,123,384,6,High
19344,33328,28,Stormy,444,471,169,7,Low
119269,96831,42,Sunny,691,930,347,13,High
12142,13987,37,Stormy,144,152,290,11,Medium
57154,68871,40,Sunny,59,399,388,9,Medium
9423,32399,30,Rainy,441,641,88,14,Low
62634,56214,43,Sunny,349,691,135,7,High
57040,96416,24,Sunny,356,166,211,13,Medium
23003,80271,23,Stormy,655,344,23,10,High
6190,54064,28,Sunny,356,870,94,13,Low
59565,80091,24,Rainy,658,269,421,10,High
35903,50818,15,Sunny,254,91,317,10,Medium
51485,55525,18,Sunny,118,763,260,7,Medium
33522,29830,46,Sunny,834,450,49,13,High
5247,27429,29,Sunny,808,954,162,13,Low
15900,16893,43,Rainy,542,181,345,10,High
28368,89909,47,Sunny,99,240,202,4,Low
62315,57333,35,Rainy,305,729,456,6,High
13999,13436,27,Rainy,121,84,35,3,High
60850,84290,37,Rainy,822,279,130,13,High
79038,86213,18,Sunny,598,908,379,14,Medium
7335,15895,41,Stormy,186,635,220,14,Medium
19087,29738,15,Sunny,352,71,126,9,High
42574,40746,23,Sunny,669,883,398,12,High
37297,59377,37,Sunny,110,329,181,14,Low
29871,58404,33,Sunny,767,111,302,5,High
42804,64045,22,Sunny,638,438,288,7,Low
52403,49790,21,Rainy,613,883,174,7,High
7573,15600,28,Sunny,410,731,92,6,Low
15220,50764,30,Sunny,37,963,216,13,Low
77679,84543,36,Rainy,946,264,262,13,High
58492,55714,28,Sunny,971,541,105,2,High
14418,66835,33,Sunny,546,579,306,12,Low
31475,83744,35,Sunny,67,121,278,8,Low
17504,66491,37,Rainy,507,994,305,11,Low
14298,28589,27,Sunny,306,322,168,9,Low
33047,53484,45,Sunny,143,470,374,2,Low
89376,92989,38,Sunny,340,717,409,11,High
39225,46212,26,Rainy,258,896,495,8,Medium
43572,53525,13,Rainy,559,471,435,5,Medium
28900,57202,38,Rainy,911,874,445,7,Low
45519,42635,13,Sunny,950,101,209,10,High
46998,73208,19,Sunny,84,61,236,6,Low
53731,43828,34,Sunny,663,814,435,9,High
23808,28711,40,Sunny,843,529,374,6,High
3290,13420,12,Sunny,177,821,105,3,Low
9040,10301,11,Sunny,780,107,235,5,High
26174,55236,34,Sunny,512,245,442,15,Low
67793,76235,15,Rainy,894,910,339,3,High
11568,64240,35,Sunny,364,383,137,8,Low
22802,75726,17,Rainy,234,590,433,8,Low
22215,20492,44,Sunny,673,936,466,15,High
5816,16102,36,Sunny,540,566,389,4,Low
64112,60336,34,Sunny,155,658,499,15,High
40143,95314,27,Sunny,969,243,434,14,High
30753,36641,10,Sunny,250,41,106,8,Medium
40048,44584,48,Sunny,893,298,59,2,High
29474,42745,12,Stormy,902,647,180,2,High
14928,33093,13,Rainy,353,588,210,10,Low
26221,76105,46,Sunny,758,551,44,7,Medium
8550,61885,24,Rainy,44,123,439,14,Low
20962,46631,17,Rainy,711,213,171,15,High
70636,82991,47,Rainy,10,38,114,13,High
16523,14014,28,Rainy,162,652,461,6,High
23242,21093,35,Sunny,438,483,442,14,High
27535,28070,48,Sunny,954,706,65,7,High
46084,45777,19,Sunny,517,262,480,7,High
57900,66958,47,Sunny,135,807,157,2,High
36767,92074,23,Sunny,500,914,490,6,Low
23698,20729,28,Sunny,491,931,485,10,High
47938,55017,39,Stormy,354,395,307,5,High
56820,76320,14,Stormy,921,71,372,4,High
8593,37751,40,Stormy,747,524,183,2,High
54084,88069,16,Rainy,230,439,431,15,Low
40753,64748,28,Stormy,924,589,419,3,High
17290,15801,40,Sunny,928,546,35,4,High
21269,29190,48,Sunny,732,700,37,5,Medium
32080,59689,33,Sunny,34,150,155,8,Low
74613,60993,43,Rainy,537,752,483,7,High
9000,39592,32,Sunny,191,309,266,12,Low
12097,20647,49,Rainy,508,684,267,9,Low
2776,18716,15,Sunny,850,320,350,15,High
94034,98891,47,Sunny,650,480,217,10,High
112741,97545,45,Rainy,51,402,20,7,High
42167,99912,36,Sunny,924,651,209,8,High
87310,80316,20,Sunny,490,454,400,5,High
5393,12368,14,Sunny,939,767,479,3,Medium
100482,87575,26,Sunny,857,818,313,10,High
16106,16655,16,Rainy,757,181,495,10,High
82083,80031,36,Sunny,881,585,64,5,High
10432,86429,24,Sunny,448,40,461,13,High
118214,97922,22,Sunny,411,56,356,4,High
61535,65766,20,Rainy,555,139,404,11,High
10542,23403,35,Sunny,354,361,51,15,Low
44361,42097,31,Rainy,902,987,411,12,High
37568,88657,37,Rainy,54,854,137,7,Medium
23139,20966,33,Sunny,655,631,315,15,High
14438,62921,38,Stormy,30,590,203,15,Low
54305,59726,18,Rainy,643,67,210,4,High
43524,60300,13,Sunny,79,115,254,2,Medium
6895,32677,27,Sunny,873,821,257,5,Low
24811,65609,25,Stormy,882,339,235,2,High
7616,66661,42,Rainy,57,777,93,3,Medium
26217,41024,38,Sunny,500,833,130,4,Low
35856,80313,48,Sunny,560,692,122,9,Low
49655,63006,19,Rainy,296,392,378,11,Medium
11194,25338,18,Rainy,19,994,93,5,Low
34714,78027,40,Rainy,551,171,439,5,High
86049,90135,37,Sunny,765,295,492,14,High
4584,29508,12,Rainy,283,80,271,11,Medium
14856,13051,23,Sunny,965,776,133,10,High
63452,58747,34,Sunny,609,463,398,8,High
84316,97142,24,Rainy,765,895,332,3,High
76057,97235,11,Stormy,390,576,349,4,High
72097,64021,33,Sunny,338,844,358,5,High
23926,76412,23,Sunny,488,406,257,5,Low
13039,68335,16,Rainy,24,524,192,11,Low
24846,66179,45,Sunny,525,35,98,9,High
42672,42093,33,Rainy,200,322,483,11,High
11144,79678,36,Rainy,177,135,405,15,Low
69888,90738,46,Sunny,530,417,112,11,Medium
61906,49734,47,Stormy,630,574,471,7,High
89558,82615,39,Rainy,146,207,69,4,High
58437,83523,36,Stormy,163,820,304,12,Medium
4679,27019,48,Rainy,397,197,242,10,Medium
98862,93613,24,Stormy,218,707,100,11,High
76257,96672,35,Sunny,281,826,285,9,Medium
19467,83847,10,Sunny,152,819,174,10,Low
19286,92750,13,Stormy,620,725,392,6,Low
102726,89634,38,Sunny,898,493,252,4,High
33262,38251,10,Sunny,829,459,418,5,High
37874,35945,31,Rainy,78,532,335,15,High
46895,42217,20,Rainy,256,880,255,14,High
13869,18308,19,Sunny,270,363,178,13,Medium
11085,15949,26,Stormy,797,995,424,6,Low
36883,61990,45,Rainy,88,667,335,10,Low
5179,11150,35,Sunny,667,606,270,10,Low
59666,99480,30,Rainy,632,109,333,15,High
83889,84740,22,Sunny,779,625,444,4,High
60696,76617,18,Sunny,614,957,449,8,Medium
30295,26896,20,Sunny,534,567,320,7,High
34260,56175,20,Sunny,781,565,399,5,Low
14211,17805,15,Sunny,947,287,301,6,High
12585,15237,10,Rainy,630,702,121,15,Medium
23457,30056,15,Rainy,339,708,70,11,Medium
50434,55543,22,Sunny,198,999,439,3,Medium
24828,66556,31,Rainy,104,635,71,12,Medium
9196,13343,40,Sunny,626,500,228,8,Medium
5166,23500,31,Sunny,17,264,326,15,Low
34278,63222,46,Stormy,76,390,150,5,High
26019,39375,36,Sunny,505,901,289,3,Low
16713,19662,23,Sunny,200,551,452,12,Medium
32171,26964,14,Rainy,375,273,224,7,High
55066,69638,45,Sunny,777,619,238,12,High
79912,83666,41,Stormy,530,834,276,13,High
64855,95067,43,Sunny,999,888,204,3,Medium
64028,77215,16,Sunny,126,338,164,11,Medium
14351,79042,19,Sunny,276,124,197,3,Medium
9140,23284,26,Sunny,620,285,33,8,High
42729,82789,39,Sunny,494,497,265,2,Medium
60903,94664,30,Sunny,518,290,206,8,Medium
10886,71389,22,Stormy,307,284,356,11,Low
5073,19435,10,Stormy,918,782,278,6,Medium
26915,64340,10,Sunny,173,852,373,2,Low
65827,54078,42,Sunny,385,728,59,7,High
42732,88832,47,Sunny,662,905,108,8,Low
40106,61293,34,Stormy,277,337,144,2,High
28899,88781,35,Stormy,558,220,469,10,High
56491,70403,22,Sunny,83,736,437,8,Medium
16541,39124,37,Rainy,517,932,493,2,Medium
18226,53919,42,Sunny,82,561,370,4,Low
31404,45247,46,Sunny,317,35,28,6,High
7735,72752,39,Sunny,208,36,369,5,Medium
7244,66573,17,Sunny,139,711,103,3,Low
24318,69101,10,Sunny,767,92,40,2,High
5212,36646,21,Sunny,833,905,496,5,Low
7410,33049,14,Rainy,581,955,300,8,Low
43878,89605,33,Sunny,800,691,377,12,Low
80185,78385,15,Sunny,624,422,397,5,High
38012,50158,34,Sunny,817,176,191,10,High
52005,75417,10,Sunny,841,709,44,15,Medium
14564,33289,34,Sunny,496,178,412,9,High
23222,19823,10,Sunny,862,810,122,9,High
39048,70160,41,Sunny,160,988,209,6,Low
10403,51975,12,Sunny,678,238,255,13,High
15820,19540,28,Sunny,215,988,429,2,Medium
6087,26364,38,Sunny,995,618,332,10,High
7261,14611,11,Rainy,188,376,56,3,Medium
25743,37663,18,Rainy,206,537,291,7,Low
68522,61991,26,Sunny,744,800,312,11,High
45181,67679,45,Sunny,98,656,351,15,Low
37190,40977,26,Sunny,808,547,171,6,High
73405,59115,21,Sunny,443,873,301,11,High
24674,98223,29,Sunny,797,533,39,14,Medium
29486,70890,12,Sunny,757,81,156,9,High
42300,76387,13,Sunny,192,654,490,12,Low
16424,28071,26,Stormy,218,115,378,4,Medium
39672,69275,46,Sunny,502,741,48,7,Medium
94209,82369,24,Sunny,139,894,50,7,High
20207,21938,42,Sunny,674,974,38,11,Medium
36114,45195,25,Stormy,22,698,167,4,High
6380,14000,20,Rainy,643,291,490,13,High
84404,80588,29,Sunny,880,142,302,13,High
57883,48304,47,Rainy,741,543,369,13,High
82974,79449,33,Sunny,115,984,360,8,High
9465,92986,25,Rainy,384,278,319,12,Low
82889,99643,39,Rainy,591,421,182,5,High
4885,30764,43,Sunny,716,682,132,6,Low
38050,96027,10,Rainy,707,628,474,10,Low
8168,48494,33,Sunny,108,800,169,7,Low
10623,13373,33,Sunny,603,874,349,11,Medium
19713,22161,18,Sunny,596,756,274,14,Medium
8652,37350,31,Rainy,895,27,106,5,High
19139,35351,21,Sunny,861,763,418,9,Low
61635,98668,26,Sunny,201,126,369,10,Low
13270,25305,34,Rainy,334,807,117,11,Low
20414,85353,37,Sunny,988,803,416,6,Low
50497,86797,24,Sunny,735,153,151,3,High
73207,75953,39,Sunny,836,726,485,7,High
12254,67458,36,Sunny,965,560,331,12,High
5835,30358,31,Sunny,476,938,426,13,Low
6739,13267,19,Sunny,903,675,116,9,Low
109715,92745,40,Stormy,376,697,117,14,High
86527,99588,36,Rainy,327,970,309,6,High
42714,48513,21,Sunny,153,762,375,2,Medium
18630,36092,40,Sunny,393,431,246,9,Low
16701,21338,41,Sunny,225,907,164,10,Medium
1162,10412,41,Rainy,370,378,175,2,Medium
14587,17543,44,Sunny,333,655,289,9,Medium
50032,43496,30,Sunny,24,567,181,11,High
56868,70692,19,Stormy,226,59,131,13,High
109463,99084,25,Sunny,501,687,350,3,High
50755,54425,16,Sunny,960,115,204,5,High
11635,48756,13,Stormy,556,225,224,14,High
32869,28888,36,Rainy,192,667,116,3,High
8068,45735,34,Sunny,279,932,396,3,Low
40912,57295,40,Rainy,954,434,74,11,High
24512,93042,20,Sunny,476,81,469,4,High
10892,95999,29,Rainy,879,997,136,15,Low
16363,27955,45,Sunny,621,851,112,9,Low
21016,47841,26,Rainy,528,794,312,5,Low
53133,80640,20,Stormy,551,768,471,8,Low
57673,75510,39,Stormy,476,455,223,13,High
6750,44911,44,Stormy,314,934,301,11,Medium
16667,69031,47,Sunny,994,195,208,4,High
73298,98726,31,Sunny,153,79,495,11,Low
8585,17357,36,Sunny,120,983,342,13,Low
39868,42479,46,Rainy,241,159,103,15,High
60764,71476,44,Stormy,700,255,477,15,High
58781,54811,13,Sunny,593,783,199,14,High
41419,46208,25,Stormy,731,547,293,12,High
17921,30150,25,Rainy,741,944,200,15,Low
70944,81180,30,Stormy,601,661,466,4,High
22203,53286,35,Stormy,509,108,200,3,High
35479,78450,45,Sunny,604,919,302,14,Low
31581,31352,28,Sunny,563,287,306,13,High
39912,65069,26,Sunny,282,572,494,7,Low
24839,24397,35,Sunny,712,672,125,7,High
53915,51555,31,Rainy,182,953,148,2,High
61868,56959,37,Rainy,982,464,281,8,High
12381,10728,10,Stormy,16,113,30,13,High
36045,60517,45,Rainy,164,955,181,15,Medium
35578,76234,46,Sunny,531,610,487,15,Low
38441,49954,11,Sunny,555,662,466,5,Medium
30177,57280,26,Sunny,557,734,200,14,Low
70783,89459,49,Sunny,930,242,232,12,High
24407,26779,47,Sunny,527,403,488,13,Medium
65922,73932,30,Sunny,929,510,293,4,High
44017,82936,18,Sunny,923,704,40,14,Medium
10060,34466,22,Sunny,224,260,294,14,Low
27933,46939,20,Rainy,143,530,279,9,Low
21091,79896,25,Sunny,294,88,352,3,Medium
50865,45270,25,Sunny,135,61,485,10,High
34426,69163,11,Sunny,930,907,135,14,Low
25718,92637,17,Stormy,448,930,432,9,Low
8005,61934,22,Sunny,858,790,44,9,Low
63113,74895,26,Sunny,695,235,459,14,High
35217,42307,48,Rainy,161,60,352,4,Medium
31516,64098,33,Sunny,340,195,273,14,Low
12940,70921,12,Stormy,547,43,466,5,High
8843,15486,39,Sunny,392,812,430,3,Low
8395,18335,22,Sunny,124,751,463,3,Low
85144,96900,28,Sunny,903,140,230,5,High
78957,99112,16,Rainy,491,641,324,7,Medium
10972,21130,18,Sunny,293,452,340,6,Low
34184,97508,28,Sunny,908,847,441,2,Low
87236,70566,49,Sunny,84,768,358,14,High
47717,76703,31,Sunny,175,441,455,11,Low
33157,37192,27,Sunny,198,713,276,2,Medium
2894,11062,32,Rainy,87,506,187,7,Low
61942,94076,11,Rainy,956,412,356,4,High
13137,99780,20,Sunny,611,332,40,4,High
21490,31545,40,Sunny,697,219,105,8,High
38299,31689,42,Rainy,30,624,34,14,High
11472,21174,23,Sunny,575,338,69,14,Low
14261,98461,25,Sunny,193,381,323,2,Low
2623,19348,20,Sunny,880,469,435,2,High
18414,33714,42,Rainy,231,142,324,15,Low
13662,48102,16,Stormy,836,844,215,14,Low
10714,84460,40,Rainy,337,660,383,11,Low
96896,99930,23,Sunny,188,130,320,4,High
10539,16801,37,Sunny,797,615,307,15,Low
